week,sku,inventory_level,consumption,lead_time_days,vendor_fill_rate,vendor_name,category,critical
2024-10-14,SKU-00001,1302,110,4,0.92,VendorA,Equipment,No
2024-10-21,SKU-00001,1510,138,9,0.88,VendorA,Equipment,No
2024-10-28,SKU-00001,1858,175,2,0.97,VendorA,Equipment,No
2024-11-04,SKU-00001,1865,175,6,0.98,VendorA,Equipment,No
2024-11-11,SKU-00001,1373,167,11,0.9,VendorA,Equipment,No
2024-11-18,SKU-00001,773,105,2,0.91,VendorA,Equipment,No
2024-11-25,SKU-00001,672,146,5,0.9,VendorA,Equipment,No
2024-12-02,SKU-00001,1056,183,10,0.93,VendorA,Equipment,No
2024-12-09,SKU-00001,1260,240,7,0.93,VendorA,Equipment,No
2024-12-16,SKU-00001,1717,154,8,0.91,VendorA,Equipment,No
2024-12-23,SKU-00001,1876,208,2,0.97,VendorA,Equipment,No
2024-12-30,SKU-00001,1303,160,2,0.96,VendorA,Equipment,No
2025-01-06,SKU-00001,1029,94,6,0.95,VendorA,Equipment,No
2025-01-13,SKU-00001,1283,161,8,0.93,VendorA,Equipment,No
2025-01-20,SKU-00001,714,132,4,0.92,VendorA,Equipment,No
2025-01-27,SKU-00001,1261,119,2,0.98,VendorA,Equipment,No
2025-02-03,SKU-00001,676,128,12,0.89,VendorA,Equipment,No
2025-02-10,SKU-00001,883,209,5,0.95,VendorA,Equipment,No
2025-02-17,SKU-00001,718,106,8,0.89,VendorA,Equipment,No
2025-02-24,SKU-00001,453,149,7,0.94,VendorA,Equipment,No
2025-03-03,SKU-00001,1723,157,6,0.85,VendorA,Equipment,No
2025-03-10,SKU-00001,1067,118,15,0.9,VendorA,Equipment,No
2025-03-17,SKU-00001,971,185,7,0.86,VendorA,Equipment,No
2025-03-24,SKU-00001,1140,192,2,0.97,VendorA,Equipment,No
2025-03-31,SKU-00001,1068,225,6,0.91,VendorA,Equipment,No
2025-04-07,SKU-00001,616,147,8,0.99,VendorA,Equipment,No
2025-04-14,SKU-00001,1212,125,2,0.89,VendorA,Equipment,No
2025-04-21,SKU-00001,859,244,4,0.98,VendorA,Equipment,No
2025-04-28,SKU-00001,430,112,5,0.88,VendorA,Equipment,No
2025-05-05,SKU-00001,1354,177,9,0.94,VendorA,Equipment,No
2025-05-12,SKU-00001,795,232,5,0.93,VendorA,Equipment,No
2025-05-19,SKU-00001,534,139,5,0.89,VendorA,Equipment,No
2025-05-26,SKU-00001,1012,141,11,0.94,VendorA,Equipment,No
2025-06-02,SKU-00001,461,147,9,0.98,VendorA,Equipment,No
2025-06-09,SKU-00001,2572,281,7,0.94,VendorA,Equipment,No
2025-06-16,SKU-00001,1704,167,10,0.94,VendorA,Equipment,No
2025-06-23,SKU-00001,1143,111,7,0.96,VendorA,Equipment,No
2025-06-30,SKU-00001,1701,192,8,0.88,VendorA,Equipment,No
2025-07-07,SKU-00001,709,111,4,0.86,VendorA,Equipment,No
2025-07-14,SKU-00001,738,83,11,0.9,VendorA,Equipment,No
2025-07-21,SKU-00001,518,97,12,0.92,VendorA,Equipment,No
2025-07-28,SKU-00001,1120,98,12,0.86,VendorA,Equipment,No
2025-08-04,SKU-00001,1221,154,6,0.91,VendorA,Equipment,No
2025-08-11,SKU-00001,1993,208,13,0.87,VendorA,Equipment,No
2025-08-18,SKU-00001,1653,153,2,0.93,VendorA,Equipment,No
2025-08-25,SKU-00001,1574,163,2,0.88,VendorA,Equipment,No
2025-09-01,SKU-00001,1172,157,2,0.9,VendorA,Equipment,No
2025-09-08,SKU-00001,379,109,5,0.98,VendorA,Equipment,No
2025-09-15,SKU-00001,1346,116,10,0.94,VendorA,Equipment,No
2025-09-22,SKU-00001,303,81,2,0.86,VendorA,Equipment,No
2025-09-29,SKU-00001,874,178,15,0.98,VendorA,Equipment,No
2025-10-06,SKU-00001,1388,122,7,0.99,VendorA,Equipment,No
2025-10-13,SKU-00001,1393,149,13,0.99,VendorA,Equipment,No
2025-10-20,SKU-00001,1868,173,8,0.97,VendorA,Equipment,No
2025-10-27,SKU-00001,551,84,5,0.97,VendorA,Equipment,No
2025-11-03,SKU-00001,739,145,2,0.93,VendorA,Equipment,No
2025-11-10,SKU-00001,1307,157,6,0.9,VendorA,Equipment,No
2025-11-17,SKU-00001,909,142,14,0.95,VendorA,Equipment,No
2025-11-24,SKU-00001,829,120,2,0.89,VendorA,Equipment,No
2025-12-01,SKU-00001,2030,210,2,0.96,VendorA,Equipment,No
2025-12-08,SKU-00001,1634,179,9,0.88,VendorA,Equipment,No
2025-12-15,SKU-00001,516,138,2,0.92,VendorA,Equipment,No
2025-12-22,SKU-00001,2549,216,5,0.93,VendorA,Equipment,No
2025-12-29,SKU-00001,1754,155,6,0.98,VendorA,Equipment,No
2026-01-05,SKU-00001,739,201,2,0.87,VendorA,Equipment,No
2026-01-12,SKU-00001,1710,143,3,0.95,VendorA,Equipment,No
2026-01-19,SKU-00001,2562,228,4,0.98,VendorA,Equipment,No
2026-01-26,SKU-00001,669,169,4,0.9,VendorA,Equipment,No
2026-02-02,SKU-00001,1259,194,2,0.88,VendorA,Equipment,No
2026-02-09,SKU-00001,779,146,2,0.91,VendorA,Equipment,No
2026-02-16,SKU-00001,1332,245,2,0.87,VendorA,Equipment,No
2026-02-23,SKU-00001,2750,244,2,0.86,VendorA,Equipment,No
2026-03-02,SKU-00001,824,184,11,0.91,VendorA,Equipment,No
2026-03-09,SKU-00001,2076,175,13,0.9,VendorA,Equipment,No
2026-03-16,SKU-00001,1611,154,12,0.93,VendorA,Equipment,No
2026-03-23,SKU-00001,1452,186,5,0.95,VendorA,Equipment,No
2026-03-30,SKU-00001,1744,183,10,0.96,VendorA,Equipment,No
2026-04-06,SKU-00001,591,122,4,0.89,VendorA,Equipment,No
2026-04-13,SKU-00001,1515,139,4,0.96,VendorA,Equipment,No
2026-04-20,SKU-00001,1245,171,5,0.97,VendorA,Equipment,No
2026-04-27,SKU-00001,2400,205,4,0.86,VendorA,Equipment,No
2026-05-04,SKU-00001,1332,182,12,0.91,VendorA,Equipment,No
2026-05-11,SKU-00001,1905,186,11,0.98,VendorA,Equipment,No
2026-05-18,SKU-00001,1423,168,7,0.94,VendorA,Equipment,No
2026-05-25,SKU-00001,1182,124,7,0.93,VendorA,Equipment,No
2026-06-01,SKU-00001,1068,188,6,0.92,VendorA,Equipment,No
2026-06-08,SKU-00001,1348,189,9,0.97,VendorA,Equipment,No
2026-06-15,SKU-00001,943,154,5,0.88,VendorA,Equipment,No
2026-06-22,SKU-00001,587,75,10,0.91,VendorA,Equipment,No
2026-06-29,SKU-00001,695,75,12,0.88,VendorA,Equipment,No
2026-07-06,SKU-00001,1217,112,13,0.92,VendorA,Equipment,No
2026-07-13,SKU-00001,712,142,8,0.97,VendorA,Equipment,No
2026-07-20,SKU-00001,285,87,2,0.93,VendorA,Equipment,No
2026-07-27,SKU-00001,574,52,9,0.87,VendorA,Equipment,No
2026-08-03,SKU-00001,329,86,2,0.92,VendorA,Equipment,No
2026-08-10,SKU-00001,608,138,14,0.9,VendorA,Equipment,No
2026-08-17,SKU-00001,1650,139,3,0.93,VendorA,Equipment,No
2026-08-24,SKU-00001,1288,131,7,0.92,VendorA,Equipment,No
2026-08-31,SKU-00001,528,122,7,0.87,VendorA,Equipment,No
2026-09-07,SKU-00001,1617,166,8,0.85,VendorA,Equipment,No
2026-09-14,SKU-00001,788,120,10,0.86,VendorA,Equipment,No
2026-09-21,SKU-00001,847,105,9,0.97,VendorA,Equipment,No
2026-09-28,SKU-00001,708,139,3,0.9,VendorA,Equipment,No
2026-10-05,SKU-00001,468,53,5,0.92,VendorA,Equipment,No
2026-10-12,SKU-00001,1611,201,9,0.93,VendorA,Equipment,No
2026-10-19,SKU-00001,386,64,11,0.98,VendorA,Equipment,No
2026-10-26,SKU-00001,673,90,9,0.9,VendorA,Equipment,No
2026-11-02,SKU-00001,909,123,2,0.97,VendorA,Equipment,No
2026-11-09,SKU-00001,1767,157,10,0.85,VendorA,Equipment,No
2026-11-16,SKU-00001,1454,153,8,0.96,VendorA,Equipment,No
2026-11-23,SKU-00001,1217,167,14,0.97,VendorA,Equipment,No
2026-11-30,SKU-00001,1193,124,9,0.92,VendorA,Equipment,No
2026-12-07,SKU-00001,757,200,10,0.92,VendorA,Equipment,No
2026-12-14,SKU-00001,1310,157,8,0.9,VendorA,Equipment,No
2026-12-21,SKU-00001,1969,248,2,0.88,VendorA,Equipment,No
2026-12-28,SKU-00001,624,147,8,0.85,VendorA,Equipment,No
2027-01-04,SKU-00001,1428,169,2,0.96,VendorA,Equipment,No
2027-01-11,SKU-00001,1732,152,13,0.99,VendorA,Equipment,No
2027-01-18,SKU-00001,1768,156,2,0.95,VendorA,Equipment,No
2027-01-25,SKU-00001,2018,198,9,0.97,VendorA,Equipment,No
2027-02-01,SKU-00001,1357,156,4,0.98,VendorA,Equipment,No
2027-02-08,SKU-00001,1929,211,2,0.91,VendorA,Equipment,No
2027-02-15,SKU-00001,1723,200,8,0.93,VendorA,Equipment,No
2027-02-22,SKU-00001,1592,257,2,0.9,VendorA,Equipment,No
2027-03-01,SKU-00001,754,149,7,0.93,VendorA,Equipment,No
2027-03-08,SKU-00001,1005,105,3,0.95,VendorA,Equipment,No
2027-03-15,SKU-00001,1982,243,6,0.99,VendorA,Equipment,No
2027-03-22,SKU-00001,2071,207,11,0.87,VendorA,Equipment,No
2027-03-29,SKU-00001,1481,199,3,0.96,VendorA,Equipment,No
2027-04-05,SKU-00001,1121,175,3,0.91,VendorA,Equipment,No
2027-04-12,SKU-00001,1343,171,17,0.92,VendorA,Equipment,No
2027-04-19,SKU-00001,690,222,5,0.93,VendorA,Equipment,No
2027-04-26,SKU-00001,1929,230,9,0.97,VendorA,Equipment,No
2027-05-03,SKU-00001,792,157,8,0.91,VendorA,Equipment,No
2027-05-10,SKU-00001,2129,190,2,0.87,VendorA,Equipment,No
2027-05-17,SKU-00001,1382,145,5,0.93,VendorA,Equipment,No
2027-05-24,SKU-00001,1267,199,9,0.86,VendorA,Equipment,No
2027-05-31,SKU-00001,615,137,5,0.88,VendorA,Equipment,No
2027-06-07,SKU-00001,742,128,10,0.88,VendorA,Equipment,No
2027-06-14,SKU-00001,795,82,12,0.88,VendorA,Equipment,No
2027-06-21,SKU-00001,644,160,12,0.91,VendorA,Equipment,No
2027-06-28,SKU-00001,890,79,2,0.93,VendorA,Equipment,No
2027-07-05,SKU-00001,700,156,2,0.85,VendorA,Equipment,No
2027-07-12,SKU-00001,967,176,4,0.88,VendorA,Equipment,No
2027-07-19,SKU-00001,1613,137,2,0.91,VendorA,Equipment,No
2027-07-26,SKU-00001,1375,176,7,0.88,VendorA,Equipment,No
2027-08-02,SKU-00001,598,91,2,0.91,VendorA,Equipment,No
2027-08-09,SKU-00001,793,110,11,0.94,VendorA,Equipment,No
2027-08-16,SKU-00001,1450,175,5,0.89,VendorA,Equipment,No
2027-08-23,SKU-00001,1109,142,14,0.92,VendorA,Equipment,No
2027-08-30,SKU-00001,765,195,6,0.9,VendorA,Equipment,No
2027-09-06,SKU-00001,757,139,6,0.98,VendorA,Equipment,No
2027-09-13,SKU-00001,2255,191,7,0.97,VendorA,Equipment,No
2027-09-20,SKU-00001,1011,127,11,0.89,VendorA,Equipment,No
2027-09-27,SKU-00001,1169,140,2,0.9,VendorA,Equipment,No
2027-10-04,SKU-00001,1433,179,7,0.95,VendorA,Equipment,No
2027-10-11,SKU-00001,2251,193,8,0.98,VendorA,Equipment,No
2027-10-18,SKU-00001,804,136,2,0.86,VendorA,Equipment,No
2027-10-25,SKU-00001,2158,203,10,0.87,VendorA,Equipment,No
2027-11-01,SKU-00001,1540,165,10,0.98,VendorA,Equipment,No
2027-11-08,SKU-00001,1011,97,11,0.9,VendorA,Equipment,No
2027-11-15,SKU-00001,1278,204,4,0.97,VendorA,Equipment,No
2027-11-22,SKU-00001,1189,147,8,0.99,VendorA,Equipment,No
2027-11-29,SKU-00001,824,112,6,0.92,VendorA,Equipment,No
2027-12-06,SKU-00001,1324,200,11,0.88,VendorA,Equipment,No
2027-12-13,SKU-00001,544,130,14,0.98,VendorA,Equipment,No
2027-12-20,SKU-00001,2226,214,11,0.92,VendorA,Equipment,No
2027-12-27,SKU-00001,623,173,12,0.91,VendorA,Equipment,No
2028-01-03,SKU-00001,973,246,6,0.87,VendorA,Equipment,No
2028-01-10,SKU-00001,1352,141,3,0.89,VendorA,Equipment,No
2028-01-17,SKU-00001,1419,174,16,0.97,VendorA,Equipment,No
2028-01-24,SKU-00001,1584,233,5,0.9,VendorA,Equipment,No
2028-01-31,SKU-00001,668,185,6,0.97,VendorA,Equipment,No
2028-02-07,SKU-00001,2003,211,6,0.94,VendorA,Equipment,No
2028-02-14,SKU-00001,2016,174,9,0.87,VendorA,Equipment,No
2028-02-21,SKU-00001,856,109,6,0.87,VendorA,Equipment,No
2028-02-28,SKU-00001,2157,186,7,0.87,VendorA,Equipment,No
2028-03-06,SKU-00001,957,157,16,0.9,VendorA,Equipment,No
2028-03-13,SKU-00001,1995,238,4,0.91,VendorA,Equipment,No
2028-03-20,SKU-00001,2448,210,4,0.96,VendorA,Equipment,No
2028-03-27,SKU-00001,672,178,14,0.98,VendorA,Equipment,No
2028-04-03,SKU-00001,1907,194,12,0.95,VendorA,Equipment,No
2028-04-10,SKU-00001,1847,166,7,0.94,VendorA,Equipment,No
2028-04-17,SKU-00001,1363,151,7,0.86,VendorA,Equipment,No
2028-04-24,SKU-00001,639,110,17,0.87,VendorA,Equipment,No
2028-05-01,SKU-00001,500,124,9,0.91,VendorA,Equipment,No
2028-05-08,SKU-00001,625,179,10,0.91,VendorA,Equipment,No
2028-05-15,SKU-00001,2088,236,8,0.9,VendorA,Equipment,No
2028-05-22,SKU-00001,1250,114,17,0.92,VendorA,Equipment,No
2028-05-29,SKU-00001,521,64,2,0.96,VendorA,Equipment,No
2028-06-05,SKU-00001,2140,222,8,0.92,VendorA,Equipment,No
2028-06-12,SKU-00001,1209,179,6,0.91,VendorA,Equipment,No
2028-06-19,SKU-00001,1378,121,2,0.86,VendorA,Equipment,No
2028-06-26,SKU-00001,1290,237,4,0.91,VendorA,Equipment,No
2028-07-03,SKU-00001,955,124,4,0.95,VendorA,Equipment,No
2028-07-10,SKU-00001,754,133,6,0.97,VendorA,Equipment,No
2028-07-17,SKU-00001,873,159,13,0.98,VendorA,Equipment,No
2028-07-24,SKU-00001,1102,95,5,0.96,VendorA,Equipment,No
2028-07-31,SKU-00001,1823,154,2,0.97,VendorA,Equipment,No
2028-08-07,SKU-00001,1963,165,7,0.95,VendorA,Equipment,No
2028-08-14,SKU-00001,1338,127,4,0.88,VendorA,Equipment,No
2028-08-21,SKU-00001,429,129,4,0.98,VendorA,Equipment,No
2028-08-28,SKU-00001,1334,154,9,0.88,VendorA,Equipment,No
2028-09-04,SKU-00001,1815,235,8,0.89,VendorA,Equipment,No
2028-09-11,SKU-00001,801,67,19,0.98,VendorA,Equipment,No
2028-09-18,SKU-00001,2218,228,4,0.85,VendorA,Equipment,No
2028-09-25,SKU-00001,305,56,3,0.92,VendorA,Equipment,No
2028-10-02,SKU-00001,1627,143,6,0.95,VendorA,Equipment,No
2028-10-09,SKU-00001,338,111,3,0.95,VendorA,Equipment,No
2028-10-16,SKU-00001,1783,153,4,0.87,VendorA,Equipment,No
2028-10-23,SKU-00001,1546,190,7,0.94,VendorA,Equipment,No
2028-10-30,SKU-00001,1930,201,7,0.92,VendorA,Equipment,No
2028-11-06,SKU-00001,644,146,9,0.87,VendorA,Equipment,No
2028-11-13,SKU-00001,1341,118,4,0.86,VendorA,Equipment,No
2028-11-20,SKU-00001,1421,130,9,0.98,VendorA,Equipment,No
2028-11-27,SKU-00001,636,209,6,0.96,VendorA,Equipment,No
2028-12-04,SKU-00001,541,180,6,0.93,VendorA,Equipment,No
2028-12-11,SKU-00001,668,141,10,0.86,VendorA,Equipment,No
2028-12-18,SKU-00001,808,200,2,0.9,VendorA,Equipment,No
2028-12-25,SKU-00001,509,161,4,0.91,VendorA,Equipment,No
2029-01-01,SKU-00001,756,164,11,0.96,VendorA,Equipment,No
2029-01-08,SKU-00001,1560,157,8,0.98,VendorA,Equipment,No
2029-01-15,SKU-00001,1856,198,4,0.92,VendorA,Equipment,No
2029-01-22,SKU-00001,1377,156,14,0.93,VendorA,Equipment,No
2029-01-29,SKU-00001,1600,154,6,0.9,VendorA,Equipment,No
2029-02-05,SKU-00001,469,156,9,0.87,VendorA,Equipment,No
2029-02-12,SKU-00001,799,204,6,0.97,VendorA,Equipment,No
2029-02-19,SKU-00001,1290,227,7,0.97,VendorA,Equipment,No
2029-02-26,SKU-00001,610,146,9,0.97,VendorA,Equipment,No
2029-03-05,SKU-00001,2025,189,7,0.99,VendorA,Equipment,No
2029-03-12,SKU-00001,911,157,13,0.89,VendorA,Equipment,No
2029-03-19,SKU-00001,984,205,10,0.97,VendorA,Equipment,No
2029-03-26,SKU-00001,1340,185,13,0.93,VendorA,Equipment,No
2029-04-02,SKU-00001,557,146,5,0.87,VendorA,Equipment,No
2029-04-09,SKU-00001,704,223,2,0.96,VendorA,Equipment,No
2029-04-16,SKU-00001,2072,177,5,0.88,VendorA,Equipment,No
2029-04-23,SKU-00001,1139,218,13,0.93,VendorA,Equipment,No
2029-04-30,SKU-00001,1143,129,5,0.9,VendorA,Equipment,No
2029-05-07,SKU-00001,1091,92,14,0.87,VendorA,Equipment,No
2029-05-14,SKU-00001,1456,222,5,0.99,VendorA,Equipment,No
2029-05-21,SKU-00001,1746,178,12,0.98,VendorA,Equipment,No
2029-05-28,SKU-00001,1471,151,8,0.87,VendorA,Equipment,No
2029-06-04,SKU-00001,458,145,3,0.92,VendorA,Equipment,No
2029-06-11,SKU-00001,1127,113,2,0.98,VendorA,Equipment,No
2029-06-18,SKU-00001,1499,137,3,0.86,VendorA,Equipment,No
2029-06-25,SKU-00001,678,115,11,0.99,VendorA,Equipment,No
2029-07-02,SKU-00001,1631,157,3,0.86,VendorA,Equipment,No
2029-07-09,SKU-00001,601,146,7,0.98,VendorA,Equipment,No
2029-07-16,SKU-00001,1686,198,12,0.89,VendorA,Equipment,No
2029-07-23,SKU-00001,1548,182,9,0.92,VendorA,Equipment,No
2029-07-30,SKU-00001,1323,158,14,0.96,VendorA,Equipment,No
2029-08-06,SKU-00001,496,111,6,0.91,VendorA,Equipment,No
2029-08-13,SKU-00001,1416,160,13,0.92,VendorA,Equipment,No
2029-08-20,SKU-00001,549,76,11,0.95,VendorA,Equipment,No
2029-08-27,SKU-00001,444,131,11,0.87,VendorA,Equipment,No
2029-09-03,SKU-00001,1190,160,2,0.86,VendorA,Equipment,No
2029-09-10,SKU-00001,602,89,5,0.88,VendorA,Equipment,No
2029-09-17,SKU-00001,1537,132,8,0.91,VendorA,Equipment,No
2029-09-24,SKU-00001,1567,163,11,0.96,VendorA,Equipment,No
2029-10-01,SKU-00001,2074,272,8,0.93,VendorA,Equipment,No
2029-10-08,SKU-00001,1276,151,5,0.93,VendorA,Equipment,No
2029-10-15,SKU-00001,2147,180,11,0.89,VendorA,Equipment,No
2029-10-22,SKU-00001,791,110,2,0.97,VendorA,Equipment,No
2029-10-29,SKU-00001,1276,192,4,0.93,VendorA,Equipment,No
2029-11-05,SKU-00001,845,111,12,0.91,VendorA,Equipment,No
2029-11-12,SKU-00001,635,164,4,0.91,VendorA,Equipment,No
2029-11-19,SKU-00001,2061,230,14,0.86,VendorA,Equipment,No
2029-11-26,SKU-00001,797,121,11,0.97,VendorA,Equipment,No
2029-12-03,SKU-00001,1467,175,6,0.91,VendorA,Equipment,No
2029-12-10,SKU-00001,1599,146,3,0.91,VendorA,Equipment,No
2029-12-17,SKU-00001,1389,154,2,0.87,VendorA,Equipment,No
2029-12-24,SKU-00001,3034,263,2,0.89,VendorA,Equipment,No
2029-12-31,SKU-00001,1081,128,2,0.9,VendorA,Equipment,No
2030-01-07,SKU-00001,2215,237,7,0.91,VendorA,Equipment,No
2030-01-14,SKU-00001,1461,186,11,0.85,VendorA,Equipment,No
2030-01-21,SKU-00001,600,130,9,0.86,VendorA,Equipment,No
2030-01-28,SKU-00001,1700,185,3,0.91,VendorA,Equipment,No
2030-02-04,SKU-00001,798,253,6,0.9,VendorA,Equipment,No
2030-02-11,SKU-00001,935,177,8,0.92,VendorA,Equipment,No
2030-02-18,SKU-00001,785,190,2,0.87,VendorA,Equipment,No
2030-02-25,SKU-00001,666,142,9,0.95,VendorA,Equipment,No
2030-03-04,SKU-00001,1762,151,4,0.89,VendorA,Equipment,No
2030-03-11,SKU-00001,841,162,6,0.97,VendorA,Equipment,No
2030-03-18,SKU-00001,715,178,9,0.96,VendorA,Equipment,No
2030-03-25,SKU-00001,1926,168,10,0.97,VendorA,Equipment,No
2030-04-01,SKU-00001,1166,190,14,0.87,VendorA,Equipment,No
2030-04-08,SKU-00001,993,92,10,0.99,VendorA,Equipment,No
2030-04-15,SKU-00001,778,139,7,0.87,VendorA,Equipment,No
2030-04-22,SKU-00001,2232,197,9,0.91,VendorA,Equipment,No
2030-04-29,SKU-00001,1129,177,5,0.89,VendorA,Equipment,No
2030-05-06,SKU-00001,789,91,11,0.94,VendorA,Equipment,No
2030-05-13,SKU-00001,492,62,11,0.93,VendorA,Equipment,No
2030-05-20,SKU-00001,172,55,14,0.93,VendorA,Equipment,No
2030-05-27,SKU-00001,1524,155,2,0.92,VendorA,Equipment,No
2030-06-03,SKU-00001,1699,160,7,0.98,VendorA,Equipment,No
2030-06-10,SKU-00001,719,138,2,0.92,VendorA,Equipment,No
2030-06-17,SKU-00001,1681,173,2,0.95,VendorA,Equipment,No
2030-06-24,SKU-00001,1265,184,7,0.98,VendorA,Equipment,No
2030-07-01,SKU-00001,410,86,13,0.92,VendorA,Equipment,No
2030-07-08,SKU-00001,975,114,5,0.92,VendorA,Equipment,No
2030-07-15,SKU-00001,1191,153,7,0.93,VendorA,Equipment,No
2030-07-22,SKU-00001,943,143,5,0.99,VendorA,Equipment,No
2030-07-29,SKU-00001,567,138,12,0.97,VendorA,Equipment,No
2030-08-05,SKU-00001,650,115,9,0.96,VendorA,Equipment,No
2030-08-12,SKU-00001,1096,106,6,0.9,VendorA,Equipment,No
2030-08-19,SKU-00001,305,101,7,0.94,VendorA,Equipment,No
2030-08-26,SKU-00001,2444,241,8,0.94,VendorA,Equipment,No
2030-09-02,SKU-00001,1416,127,2,0.96,VendorA,Equipment,No
2030-09-09,SKU-00001,480,84,8,0.95,VendorA,Equipment,No
2030-09-16,SKU-00001,1717,167,10,0.96,VendorA,Equipment,No
2030-09-23,SKU-00001,625,143,2,0.88,VendorA,Equipment,No
2030-09-30,SKU-00001,1196,153,11,0.87,VendorA,Equipment,No
2030-10-07,SKU-00001,568,117,4,0.94,VendorA,Equipment,No
2030-10-14,SKU-00001,669,190,2,0.87,VendorA,Equipment,No
2030-10-21,SKU-00001,1725,190,2,0.91,VendorA,Equipment,No
2030-10-28,SKU-00001,735,234,5,0.9,VendorA,Equipment,No
2030-11-04,SKU-00001,1116,185,11,0.98,VendorA,Equipment,No
2030-11-11,SKU-00001,1259,143,10,0.93,VendorA,Equipment,No
2030-11-18,SKU-00001,657,108,2,0.94,VendorA,Equipment,No
2030-11-25,SKU-00001,2021,224,6,0.86,VendorA,Equipment,No
2030-12-02,SKU-00001,1033,124,10,0.95,VendorA,Equipment,No
2030-12-09,SKU-00001,791,168,2,0.86,VendorA,Equipment,No
2030-12-16,SKU-00001,1435,120,2,0.91,VendorA,Equipment,No
2030-12-23,SKU-00001,809,213,2,0.98,VendorA,Equipment,No
2030-12-30,SKU-00001,1042,230,9,0.91,VendorA,Equipment,No
2031-01-06,SKU-00001,683,227,5,0.89,VendorA,Equipment,No
2031-01-13,SKU-00001,1140,177,8,0.87,VendorA,Equipment,No
2031-01-20,SKU-00001,1090,210,10,0.94,VendorA,Equipment,No
2031-01-27,SKU-00001,1675,166,5,0.97,VendorA,Equipment,No
2031-02-03,SKU-00001,798,180,16,0.86,VendorA,Equipment,No
2031-02-10,SKU-00001,972,160,5,0.9,VendorA,Equipment,No
2031-02-17,SKU-00001,925,122,4,0.97,VendorA,Equipment,No
2031-02-24,SKU-00001,1889,174,6,0.87,VendorA,Equipment,No
2031-03-03,SKU-00001,1441,178,12,0.9,VendorA,Equipment,No
2031-03-10,SKU-00001,495,63,7,0.94,VendorA,Equipment,No
2031-03-17,SKU-00001,1642,173,15,0.87,VendorA,Equipment,No
2031-03-24,SKU-00001,1050,178,4,0.85,VendorA,Equipment,No
2031-03-31,SKU-00001,1579,136,4,0.93,VendorA,Equipment,No
2031-04-07,SKU-00001,1126,154,9,0.89,VendorA,Equipment,No
